FID,Date,Match,Cote,Mise,Proba,Statut
1379159,2026-01-03,Aston Villa vs Nott'm Forest,1.85,20.0,76.4%,1
1379168,2026-01-03,Wolves vs West Ham,2.05,20.0,67.0%,1
1378034,2026-01-03,Atalanta vs Roma,2.25,20.0,66.9%,2
1378038,2026-01-03,Genoa vs Paris SG,2.55,20.0,54.2%,2
1378042,2026-01-03,Sassuolo vs Parma,2.1,20.0,53.8%,2
1379163,2026-01-04,Fulham vs Liverpool,1.83,20.0,60.1%,1
1379165,2026-01-04,Man City vs Chelsea,1.5,20.0,78.4%,2
1379166,2026-01-04,Newcastle vs Crystal Palace,1.83,20.0,66.1%,2
1379167,2026-01-04,Tottenham vs Salernitana,2.2,20.0,76.1%,2
1387845,2026-01-04,Lorient vs Metz,1.85,20.0,70.3%,2
1378037,2026-01-04,Fiorentina vs Clermont,2.0,20.0,68.1%,2
1378043,2026-01-04,Verona vs Torino,2.6,20.0,43.7%,1
1379178,2026-01-06,West Ham vs Nott'm Forest,2.0,20.0,59.2%,1
1378051,2026-01-06,Paris SG vs Como,2.15,20.0,69.9%,1
1378052,2026-01-06,Sassuolo vs Juventus,1.95,20.0,61.1%,1
1379170,2026-01-07,Bournemouth vs Tottenham,1.73,20.0,66.3%,1
1379171,2026-01-07,Brentford vs Salernitana,2.1,20.0,64.4%,1
1379173,2026-01-07,Crystal Palace vs Aston Villa,1.9,20.0,69.2%,2
1379175,2026-01-07,Fulham vs Chelsea,1.75,20.0,67.0%,1
1391001,2026-01-09,Getafe vs Sociedad,3.2,20.0,38.8%,1
1391002,2026-01-10,Girona vs Osasuna,2.2,20.0,77.0%,2
1391008,2026-01-10,Villarreal vs Alaves,1.85,20.0,60.7%,1
1378054,2026-01-10,Atalanta vs Torino,2.0,20.0,58.7%,2
1378061,2026-01-10,Roma vs Sassuolo,2.0,20.0,73.0%,2
1378062,2026-01-10,Udinese vs Paris SG,2.25,20.0,64.8%,1
1388451,2026-01-10,Werder Bremen vs Hoffenheim,1.57,20.0,81.6%,0
1378056,2026-01-11,Fiorentina vs Milan,1.95,20.0,82.9%,2
1378058,2026-01-11,Inter vs Napoli,2.25,20.0,50.7%,1
1378063,2026-01-11,Verona vs Lazio,2.8,20.0,49.4%,2
1388445,2026-01-11,M'gladbach vs Augsburg,1.83,20.0,69.6%,1
1391006,2026-01-12,Sevilla vs Celta,2.1,20.0,62.7%,2
1378057,2026-01-12,Genoa vs Cagliari,2.55,20.0,50.4%,1
1388456,2026-01-14,Hoffenheim vs M'gladbach,1.57,20.0,81.7%,1
1378015,2026-01-15,Como vs Milan,2.0,20.0,76.7%,1
1378071,2026-01-16,Paris SG vs Atalanta,1.9,20.0,80.0%,2
1379181,2026-01-17,Chelsea vs Brentford,1.62,20.0,73.5%,2
1379182,2026-01-17,Lens vs Fulham,2.25,20.0,57.3%,2
1379185,2026-01-17,Nott'm Forest vs Arsenal,1.93,20.0,59.0%,2
1379186,2026-01-17,Salernitana vs Crystal Palace,2.2,20.0,51.4%,1
1379187,2026-01-17,Tottenham vs West Ham,1.65,20.0,80.7%,1
1378065,2026-01-17,Cagliari vs Juventus,2.1,20.0,67.6%,2
1378069,2026-01-17,Napoli vs Sassuolo,2.0,20.0,58.6%,2
1378073,2026-01-17,Udinese vs Inter,1.75,20.0,65.1%,2
1388464,2026-01-17,Strasbourg vs M'gladbach,1.8,20.0,68.6%,2
1388465,2026-01-17,Hoffenheim vs Leverkusen,1.5,20.0,74.1%,2
1379179,2026-01-18,Aston Villa vs Everton,1.85,20.0,64.3%,2
1379188,2026-01-18,Wolves vs Newcastle,1.67,20.0,71.2%,2
1387853,2026-01-18,Lyon vs Brest,1.8,20.0,71.0%,1
1387855,2026-01-18,Nantes vs Paris SG,2.0,20.0,75.7%,1
1391014,2026-01-18,Getafe vs Valencia,3.2,20.0,42.2%,2
1379192,2026-01-24,Burnley vs Tottenham,2.1,20.0,70.5%,1
1379198,2026-01-24,West Ham vs Salernitana,2.1,20.0,66.9%,1
1387868,2026-01-24,Rennes vs Lorient,1.7,20.0,77.9%,2
1391028,2026-01-24,Villarreal vs Real Madrid,1.45,20.0,83.5%,2
1378076,2026-01-24,Fiorentina vs Cagliari,1.95,20.0,68.1%,1
1378080,2026-01-24,Lecce vs Lazio,2.88,20.0,41.7%,2
1388473,2026-01-24,Ein Frankfurt vs Hoffenheim,1.62,20.0,79.9%,1
1388478,2026-01-24,Union Berlin vs Dortmund,2.1,20.0,64.0%,1
1379191,2026-01-25,Brentford vs Nott'm Forest,1.95,20.0,58.6%,0
1379193,2026-01-25,Crystal Palace vs Chelsea,1.7,20.0,77.5%,0
1379197,2026-01-25,Newcastle vs Aston Villa,1.65,20.0,76.0%,0
1387863,2026-01-25,Lille vs Strasbourg,1.85,20.0,60.3%,0
1387865,2026-01-25,Metz vs Lyon,1.8,20.0,63.2%,0
1387867,2026-01-25,Paris SG vs Angers,2.2,20.0,55.4%,0
1378074,2026-01-25,Atalanta vs Parma,1.8,20.0,66.5%,0
1378081,2026-01-25,Roma vs Milan,2.2,20.0,79.2%,0
